Path,Label
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\01163.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\01323.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\01590.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\01731.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\01786.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0190.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0194.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0226.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0286.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0334.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0386.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0434.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0478.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0538.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0586.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0638.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0698.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0762.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0806.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\0833.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10102.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10134.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10162.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10198.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10238.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10266.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10294.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10314.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10334.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10402.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\1042.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10430.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10454.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10482.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10514.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10546.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10578.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\1058.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\10610.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\1074.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11122.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\1114.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11202.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11246.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11302.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11346.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11386.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11422.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11470.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11514.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11558.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11610.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11658.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11690.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11722.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11742.jpg,0
C:\Users\saraz\ITI\Graduation\Camera 2\train/c0\11778.jpg,0
